subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
hp:HP:0001678	mesh:D054537	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004245	umls_ingest	2023-09-06
hp:HP:0011709	mesh:D006327	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004331	umls_ingest	2023-09-06
hp:HP:0000717	mesh:D001321	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004352	umls_ingest	2023-09-06
hp:HP:0002960	mesh:D001327	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004364	umls_ingest	2023-09-06
hp:HP:0002960	mesh:D015551	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004368	umls_ingest	2023-09-06
hp:HP:0000027	mesh:D053713	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004509	umls_ingest	2023-09-06
hp:HP:0003418	mesh:D001416	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004604	umls_ingest	2023-09-06
hp:HP:0031864	mesh:D016470	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004610	umls_ingest	2023-09-06
hp:HP:0012461	mesh:D001437	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004659	umls_ingest	2023-09-06
hp:HP:0100580	mesh:D001471	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004763	umls_ingest	2023-09-06
hp:HP:0000708	mesh:D001523	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004930	umls_ingest	2023-09-06
hp:HP:0000708	mesh:D001526	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0004941	umls_ingest	2023-09-06
hp:HP:0012334	mesh:D001651	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005398	umls_ingest	2023-09-06
hp:HP:0005912	mesh:D001656	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005411	umls_ingest	2023-09-06
hp:HP:0012396	mesh:D001657	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005416	umls_ingest	2023-09-06
hp:HP:0001080	mesh:D001660	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005424	umls_ingest	2023-09-06
hp:HP:0100574	mesh:D001661	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005426	umls_ingest	2023-09-06
hp:HP:0007302	mesh:D001714	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005586	umls_ingest	2023-09-06
hp:HP:0033623	mesh:D017584	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005603	umls_ingest	2023-09-06
hp:HP:0010474	mesh:D001744	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005683	umls_ingest	2023-09-06
hp:HP:0002836	mesh:D001746	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005689	umls_ingest	2023-09-06
hp:HP:0004321	mesh:D001747	oboinowl:hasDbXref	sempav:UnspecifiedMatching	umls:C0005690	umls_ingest	2023-09-06
